Date,SPY,^VIX
2016-05-02,185.15724182128906,14.680000305175781
2016-05-03,183.54580688476562,15.600000381469727
2016-05-04,182.52197265625,16.049999237060547
2016-05-05,182.48631286621094,15.90999984741211
2016-05-06,183.154052734375,14.720000267028809
2016-05-09,183.30535888671875,14.569999694824219
2016-05-10,185.5845947265625,13.630000114440918
2016-05-11,183.84848022460938,14.6899995803833
2016-05-12,183.90191650390625,14.40999984741211
2016-05-13,182.2993621826172,15.039999961853027
2016-05-16,184.0977783203125,14.680000305175781
2016-05-17,182.3794708251953,15.569999694824219
2016-05-18,182.43289184570312,15.949999809265137
2016-05-19,181.80076599121094,16.329999923706055
2016-05-20,182.94927978515625,15.199999809265137
2016-05-23,182.6999969482422,15.819999694824219
2016-05-24,185.06820678710938,14.420000076293945
2016-05-25,186.3235321044922,13.899999618530273
2016-05-26,186.37693786621094,13.430000305175781
2016-05-27,187.17823791503906,13.119999885559082
2016-05-31,186.82211303710938,14.1899995803833
2016-06-01,187.2049560546875,14.199999809265137
2016-06-02,187.77474975585938,13.630000114440918
2016-06-03,187.21383666992188,13.470000267028809
2016-06-06,188.16647338867188,13.649999618530273
2016-06-07,188.46031188964844,14.050000190734863
2016-06-08,189.07456970214844,14.079999923706055
2016-06-09,188.81639099121094,14.640000343322754
2016-06-10,187.02685546875,17.030000686645508
2016-06-13,185.5845947265625,20.969999313354492
2016-06-14,185.21954345703125,20.5
2016-06-15,184.96133422851562,20.139999389648438
2016-06-16,185.5133514404297,19.3700008392334
2016-06-17,184.82247924804688,19.40999984741211
2016-06-20,186.01278686523438,18.3700008392334
2016-06-21,186.54074096679688,18.479999542236328
2016-06-22,186.23648071289062,21.170000076293945
2016-06-23,188.66175842285156,17.25
2016-06-24,181.8870391845703,25.760000228881836
2016-06-27,178.6295166015625,23.850000381469727
2016-06-28,181.85130310058594,18.75
2016-06-29,184.94775390625,16.639999389648438
2016-06-30,187.4714813232422,15.630000114440918
2016-07-01,187.86526489257812,14.770000457763672
2016-07-05,186.513916015625,15.579999923706055
2016-07-06,187.63258361816406,14.960000038146973
2016-07-07,187.5161895751953,14.760000228881836
2016-07-08,190.3084259033203,13.199999809265137
2016-07-11,190.97962951660156,13.539999961853027
2016-07-12,192.36679077148438,13.550000190734863
2016-07-13,192.33993530273438,13.039999961853027
2016-07-14,193.4138641357422,12.819999694824219
2016-07-15,193.15432739257812,12.670000076293945
2016-07-18,193.67340087890625,12.4399995803833
2016-07-19,193.47653198242188,11.970000267028809
2016-07-20,194.28196716308594,11.770000457763672
2016-07-21,193.54812622070312,12.739999771118164
2016-07-22,194.41619873046875,12.020000457763672
2016-07-25,193.88816833496094,12.869999885559082
2016-07-26,193.9776611328125,13.050000190734863
2016-07-27,193.7718505859375,12.829999923706055
2016-07-28,193.9955596923828,12.720000267028809
2016-07-29,194.30880737304688,11.869999885559082
2016-08-01,194.14772033691406,12.4399995803833
2016-08-02,192.90377807617188,13.369999885559082
2016-08-03,193.4675750732422,12.859999656677246
2016-08-04,193.67340087890625,12.420000076293945
2016-08-05,195.25743103027344,11.390000343322754
2016-08-08,195.14108276367188,11.5
2016-08-09,195.25743103027344,11.65999984741211
2016-08-10,194.77413940429688,12.050000190734863
2016-08-11,195.6780548095703,11.680000305175781
2016-08-12,195.5080108642578,11.550000190734863
2016-08-15,196.07183837890625,11.8100004196167
2016-08-16,195.06056213378906,12.640000343322754
2016-08-17,195.42747497558594,12.1899995803833
2016-08-18,195.86599731445312,11.430000305175781
2016-08-19,195.57962036132812,11.34000015258789
2016-08-22,195.5706787109375,12.270000457763672
2016-08-23,195.96444702148438,12.380000114440918
2016-08-24,194.9621124267578,13.449999809265137
2016-08-25,194.827880859375,13.630000114440918
2016-08-26,194.4609375,13.649999618530273
2016-08-29,195.4185028076172,12.9399995803833
2016-08-30,195.09634399414062,13.119999885559082
2016-08-31,194.5414581298828,13.420000076293945
2016-09-01,194.5504150390625,13.479999542236328
2016-09-02,195.42747497558594,11.979999542236328
2016-09-06,196.01812744140625,12.020000457763672
2016-09-07,196.00022888183594,11.9399995803833
2016-09-08,195.5528106689453,12.510000228881836
2016-09-09,190.8722381591797,17.5
2016-09-12,193.6107635498047,15.15999984741211
2016-09-13,190.82748413085938,17.850000381469727
2016-09-14,190.75587463378906,18.139999389648438
2016-09-15,192.662109375,16.299999237060547
2016-09-16,191.91737365722656,15.369999885559082
2016-09-19,191.953369140625,15.529999732971191
2016-09-20,191.9623565673828,15.920000076293945
2016-09-21,194.1210479736328,13.300000190734863
2016-09-22,195.3442840576172,12.020000457763672
2016-09-23,194.27395629882812,12.289999961853027
2016-09-26,192.69989013671875,14.5
2016-09-27,193.8961639404297,13.100000381469727
2016-09-28,194.85861206054688,12.390000343322754
2016-09-29,193.09564208984375,14.020000457763672
2016-09-30,194.5528106689453,13.289999961853027
