date,AAPL,GE,AMD,WMT,BAC,T,XOM,RRC,BBY,PFE,JPM
28/06/2007,11.659124,25.839304,14.49,37.215473,40.996681,22.702587,62.158703,35.607929,36.349304,16.408754,37.499313
29/06/2007,11.802256,25.94776,14.3,37.138268,40.829655,23.126104,62.366875,36.178509,36.372688,16.370338,37.108707
02/07/2007,11.72682,25.934214,14.36,37.308121,41.188778,23.321133,63.065781,36.294556,36.583111,16.472778,37.644848
03/07/2007,12.298366,26.232456,14.36,37.416168,41.380844,23.126104,63.467289,37.077885,36.661045,16.523991,38.084824
05/07/2007,12.837996,26.124006,14.19,37.122829,41.230511,22.825174,63.318596,37.49374,37.253357,16.581614,37.660286
06/07/2007,12.794477,26.083328,14.39,37.354416,41.046803,22.856092,64.285156,37.213276,37.72197,16.594418,37.799217
09/07/2007,12.603966,26.178228,14.57,37.439331,40.762844,22.76053,65.013802,37.435703,37.760998,16.568802,37.660286
10/07/2007,12.799314,25.690184,14.43,36.729149,40.387043,22.204033,64.314926,37.290653,37.104973,16.376747,36.672264
11/07/2007,12.803182,25.893543,14.65,36.806347,40.512306,22.37829,64.902298,37.203613,37.065926,16.293516,37.150845
12/07/2007,12.965651,26.435812,15.36,37.69408,41.364128,22.754913,66.634727,36.836124,37.526711,16.63283,38.231472
13/07/2007,13.319605,26.77474,15.43,37.941109,41.339092,22.709944,67.162621,36.884472,36.980007,16.588015,38.632839
16/07/2007,13.355383,27.194992,15.72,37.77898,41.439304,22.603138,66.694199,36.091461,36.839443,16.696854,38.463043
17/07/2007,13.433718,27.594917,15.84,37.323536,41.589622,22.395155,66.240654,37.600113,36.323978,16.620028,38.532505
18/07/2007,13.357322,27.418678,15.46,37.084248,41.222172,22.277105,67.772308,38.876656,36.113113,16.08864,37.729755
19/07/2007,13.53913,27.594917,15.78,37.663208,41.147015,22.288345,68.619942,39.128113,36.573898,15.999015,37.529053
20/07/2007,13.901786,27.194992,15.5,37.099674,40.345295,21.95669,68.359703,38.132008,36.222446,15.941392,36.710854
23/07/2007,13.896953,27.669476,15.36,37.138268,40.21167,22.501959,69.474991,37.135914,35.886623,16.02462,36.39439
